Sample name (final) ,Library,Sample_name,samp_name,extraction_date,extraction_tech,year,Replication,Instrument,Site,Basin,WaterSample,Date,Channel number,Bottle ID,Collection time,Filter ID ,Filtration start time,filtration start time formatted,Volume filtered (L),Depth_m,Depth_category,Distance_from_bottom_ft,Distance_from_bottom_m,Latitude,Longitude,Preservation time,preservation time formatted,Preservation location,Qubit,ddPCR,Notes,Time before preservation,,extraction_tech,extraction_date,pcr2_band,primer,readswithprimers
241007-HC6-F,Rockfish3,HC6-F,,,,,,Ascension,HC-6,HC,HC6-F,2024 10 07,ch3,9999,9999,14A,1426,14:26,2,56,Near bottom,20,20,47.70928667,122.8707483,2145,21:45,22,13.5,,,7:19,,SG,,faint band,MDL,63350
241023-HC8-A,Rockfish3,HC8-A,,,,,,SmithRoot,HC-8,HC,HC8-A,2024 10 23,9999,B34,9999,62R,1445,14:45,2.05,0,Surface,20,20,47.86117167,122.639885,1830,18:30,89,13.9,,,3:45,,WH,,band,MDL,682030
241023-HC8-B,Rockfish3,HC8-B,,,,,,SmithRoot,HC-8,HC,HC8-B,2024 10 23,9999,B34,9999,21R,1449,14:49,2.1,0,Surface,20,20,47.86117167,122.639885,1825,18:25,87,13.2,,,3:36,,WH,,faint band,MDL,92253
241023-HC8-C,Rockfish3,HC8-C,,,,,,SmithRoot,HC-8,HC,HC8-C,2024 10 23,9999,B34,9999,4R,1454,14:54,2,0,Surface,20,20,47.86117167,122.639885,1819,18:19,98,17.2,,,3:25,,WH,,band,MDL,425748
241023-HC8-D,Rockfish3,HC8-D,,,,,,Ascension,HC-8,HC,HC8-D,2024 10 23,4,9999,9999,106A,1507,15:07,2.01,11,Near bottom,10,10,47.86117167,122.639885,1819,18:19,42,22.5,,"No CTD data, sample depth measured by MWO and fishfinder",3:12,,YL,,faint band,MDL,24394
241023-HC8-E,Rockfish3,HC8-E,,,,,,Ascension,HC-8,HC,HC8-E,2024 10 23,2,9999,9999,109A,1453,14:53,2.01,11,Near bottom,9,9,47.86117167,122.639885,1829,18:29,47,18.1,,"No CTD data, sample depth measured by MWO and fishfinder",3:36,,YL,,band,MDL,267398
241023-HC8-F,Rockfish3,HC8-F,,,,,,Ascension,HC-8,HC,HC8-F,2024 10 23,3,9999,9999,100A,1459,14:59,2.04,11,Near bottom,9,9,47.86117167,122.639885,1817,18:17,40,24.6,,"No CTD data, sample depth measured by MWO and fishfinder",3:18,,WH,,faint band,MDL,25657
241023-HC8-G,Rockfish3,HC8-G,,,,,,Ascension,HC-8,HC,HC8-G,2024 10 23,1,9999,9999,101A,1445,14:45,2.01,11,Near bottom,8,8,47.86117167,122.639885,1518,15:18,39,16.7,,"No CTD data, sample depth measured by MWO and fishfinder",0:33,,YL,,band,MDL,579264
241023-HC9-A,Rockfish3,HC9-A,,,,,,SmithRoot,HC-9,HC,HC9-A,2024 10 23,9999,B31,9999,7R,1358,13:58,2,0,Surface,38,38,47.89487667,122.62123,1837,18:37,88,15.3,0.8,,4:39,,WH,,band,MDL,587202
241023-HC9-B,Rockfish3,HC9-B,,,,,,SmithRoot,HC-9,HC,HC9-B,2024 10 23,9999,B33,9999,1R,1258,12:58,2.05,0,Surface,38,38,47.89487667,122.62123,1827,18:27,81,14.7,1.6,,5:29,,WH,,band,MDL,277819
241023-HC9-C,Rockfish3,HC9-C,,,,,,SmithRoot,HC-9,HC,HC9-C,2024 10 23,9999,B33,9999,10R,1401,14:01,2.1,0,Surface,38,38,47.89487667,122.62123,1828,18:28,82,18.6,2.43,,4:27,,WH,,no band,MDL,27883
241023-HC9-D,Rockfish3,HC9-D,,,,,,Ascension,HC-9,HC,HC9-D,2024 10 23,1,9999,9999,233A,1356,13:56,2.01,25,Near bottom,13,13,47.89487667,122.62123,1840,18:40,106,14.4,,"No CTD data, sample depth measured by MWO and fishfinder",4:44,,YL,,band,MDL,61137
241023-HC9-E,Rockfish3,HC9-E,,,,,,Ascension,HC-9,HC,HC9-E,2024 10 23,2,9999,9999,234A,1403,14:03,2.003,25,Near bottom,13,13,47.89487667,122.62123,1822,18:22,43,14.5,,"No CTD data, sample depth measured by MWO and fishfinder",4:19,,YL,,no band,MDL,873104
241023-HC9-F,Rockfish3,HC9-F,,,,,,Ascension,HC-9,HC,HC9-F,2024 10 23,3,9999,9999,230A,1410,14:10,2.005,25,Near bottom,13,13,47.89487667,122.62123,1836,18:36,96,13.7,3.08,"No CTD data, sample depth measured by MWO and fishfinder",4:26,,YL,,no band,MDL,1547
241023-HC9-G,Rockfish3,HC9-G,,,,,,Ascension,HC-9,HC,HC9-G,2024 10 23,4,9999,9999,235A,1416,14:16,2.004,25,Near bottom,13,13,47.89487667,122.62123,1429,14:29,38,7.54,0,"No CTD data, sample depth measured by MWO and fishfinder",0:13,,YL,,no band,MDL,1485
241023-HC9-X,Rockfish3,HC9-X,,,,,,SmithRoot,HC-9,HC,HC9-X,2024 10 23,9999,B31,9999,9R,1401,14:01,2,0,Surface,38,38,47.89487667,122.62123,1404,14:04,35,9.52,0.78,,0:03,,WH,,band,MDL,23391
241023-HC9-Y,Rockfish3,HC9-Y,,,,,,SmithRoot,HC-9,HC,HC9-Y,2024 10 23,9999,B33,9999,6R,1404,14:04,2.05,0,Surface,38,38,47.89487667,122.62123,1407,14:07,36,8.08,2.37,,0:03,,YL,,faint band,MDL,52588
241023-HC9-Z,Rockfish3,HC9-Z,,,,,,SmithRoot,HC-9,HC,HC9-Z,2024 10 23,9999,B31,9999,22R,1405,14:05,2,0,Surface,38,38,47.89487667,122.62123,1408,14:08,37,7.27,0,salmon-looking fish behaving like dolphins (schooling),0:03,,YL,,no band,MDL,49351
lab-NTC-1,Rockfish3,lab-NTC-1,,,,,,Lab PCR blank,,NTC,lab-NTC-1,,,,,,,,,,,,,,,,,,,,,,,,,no band,MDL,
LAB-NTC-2,Rockfish3,LAB-NTC-2,,,,,,Lab PCR blank,,NTC,LAB-NTC-2,,,,,,,,,,,,,,,,,,,,,,,,,no band,MDL,
241023-NC1,Rockfish3,NC1,,,,,,SmithRoot,NFC-1,NFC,NC1,2024 10 23,9999,1A,9999,97R,1458,14:58,2,0,Surface,,,,,1816,18:16,93,0.001,,,3:18,,WH,,no band,MDL,
241023-NC2,Rockfish3,NC2,,,,,,Ascension,NFC-2,NFC,NC2,2024 10 23,5,9999,9999,3A,9999,15:07,0,9999,,,,,,1831,18:31,48,0.001,,"No CTD data, sample depth measured by MWO and fishfinder",3:24,,YL,,no band,MDL,
OCNMS-2022-52496--024,Rockfish3,ocnms-24,2022-24,10/24/24,SE,2022,n,OCNMS,Neah Bay,OC,ocnms-24,2022 07 31,9999,9999,2022,9999,9999,9999,1,0,Surface,,,,,,,,70,,,,10/24/24,SE,,band,MDL,30966
OCNMS-2022-52496--025,Rockfish3,ocnms-25,2022-25,10/24/24,SE,2022,n,OCNMS,Neah Bay,OC,ocnms-25,2022 07 31,9999,9999,2022,9999,9999,9999,1,0,Surface,,,,,,,,56.4,,,,10/24/24,SE,,band,MDL,16260
OCNMS 2024 Tatoosh 35,Rockfish3,ocnms-35,2024-35,10/24/24,SE,2024,y,OCNMS,Tatoosh Island,OC,ocnms-35,2024 07 29,9999,9999,2024,9999,9999,9999,1,0,Surface,,,,,,,,112,,,,10/24/24,SE,,band,MDL,34620
OCNMS 2024 Tatoosh 36,Rockfish3,ocnms-36,2024-36,10/30/24,SE,2024,y,OCNMS,Tatoosh Island,OC,ocnms-36,2024 07 29,9999,9999,2024,9999,9999,9999,1,0,Surface,,,,,,,,200,,,,10/30/24,SE,,faint band,MDL,18270
OCNMS 2024 Neah 37,Rockfish3,ocnms-37,2024-37,10/30/24,SE,2024,y,OCNMS,Neah Bay,OC,ocnms-37,2024 07 29,9999,9999,2024,9999,9999,9999,1,0,Surface,,,,,,,,200,,,,10/30/24,SE,,faint band,MDL,1673
OCNMS 2024 Neah 38,Rockfish3,ocnms-38,2024-38,10/30/24,SE,2024,y,OCNMS,Neah Bay,OC,ocnms-38,2024 07 29,9999,9999,2024,9999,9999,9999,1,0,Surface,,,,,,,,200,,,,10/30/24,SE,,no band,MDL,6316
